"index","probe.id","gene.id"
10496,"201047_x_at","RAB6A"
10497,"201048_x_at","RAB6A"
10498,"201049_s_at","RPS18"
10499,"201050_at","PLD3"
10500,"201051_at","ANP32A"
10501,"201052_s_at","PSMF1"
10502,"201053_s_at","PSMF1"
10503,"201054_at","HNRNPA0"
10504,"201055_s_at","HNRNPA0"
10505,"201056_at","GOLGB1"
10506,"201057_s_at","GOLGB1"
10507,"201058_s_at","MYL9"
10508,"201059_at","CTTN"
10509,"201060_x_at","STOM"
10510,"201061_s_at","STOM"
10511,"201062_at","STOM"
10512,"201063_at","RCN1"
10513,"201064_s_at","PABPC4"
10514,"201065_s_at","GTF2I"
10515,"201066_at","CYC1"
10516,"201067_at","PSMC2"
10517,"201068_s_at","PSMC2"
10518,"201069_at","MMP2"
10519,"201070_x_at","SF3B1"
10520,"201071_x_at","SF3B1"
10521,"201072_s_at","SMARCC1"
10522,"201073_s_at","SMARCC1"
10523,"201074_at","SMARCC1"
10524,"201075_s_at","SMARCC1"
10525,"201076_at","SNU13"
10526,"201077_s_at","SNU13"
10527,"201078_at","TM9SF2"
10528,"201079_at","SYNGR2"
10529,"201080_at","PIP4K2B"
10530,"201081_s_at","PIP4K2B"
10531,"201082_s_at","DCTN1"
10532,"201083_s_at","BCLAF1"
10533,"201084_s_at","BCLAF1"
10534,"201085_s_at","SON"
10535,"201086_x_at","SON"
10536,"201087_at","PXN"
10537,"201088_at","KPNA2"
10538,"201089_at","ATP6V1B2"
10539,"201090_x_at","TUBA1B"
10540,"201091_s_at","CBX3"
10541,"201092_at","RBBP7"
10542,"201093_x_at","SDHA"
10543,"201094_at","RPS29"
10544,"201095_at","DAP"
10545,"201096_s_at","ARF4"
10546,"201097_s_at","ARF4"
10547,"201098_at","COPB2"
10548,"201099_at","USP9X"
10549,"201100_s_at","USP9X"
10550,"201101_s_at","BCLAF1"
10551,"201102_s_at","PFKL"
10552,"201103_x_at","NBPF12"
10553,"201104_x_at","NBPF14"
10554,"201105_at","LGALS1"
10555,"201106_at","GPX4"
10556,"201107_s_at","THBS1"
10557,"201108_s_at","THBS1"
